s,俳句,読み,季語候補,plutchik_main,nihon_main,nihon_sub,main_confidence,季節,ジャンル,出典,年,has_repetition
20836,世話好や不性～に冬籠,せわずきや ふしょうぶしょうに ふゆごもり,冬籠り,悲しみ,無垢,物の哀れ,0.75,冬,人事,文政句帖,文政8,TRUE
4604,筆の先ちよこちよこなめる小てふ哉,ふでのさき ちょこちょこなめる こちょうかな,蝶,喜び,愛らしさ,滑稽,0.75,春,動物,文政句帖,文政9,TRUE
4605,湯けぶりのふは～蝶もふはり哉,ゆけぶりの ふわふわちょうも ふわりかな,蝶,喜び,風雅,可憐さ,0.75,春,動物,文政句帖,文政9,TRUE
6864,穀値段どか～下るあつさ哉,こくねだん どかどかさがる あつさかな,暑し,驚き,滑稽,素朴,0.72,夏,時候,文政九十句写,文政9,TRUE
7075,なか～に出れば吹也土用東風,なかなかに でればふくなり どようこち,土用,喜び,風雅,幽玄,0.75,夏,時候,文政九十句写,文政9,TRUE
8793,計袁呂～茶の子転る団扇哉,こおろこおろ ちゃのこころがる うちわかな,団扇,喜び,愛らしさ,風雅,0.75,夏,人事,文政句帖,文政9,TRUE
8794,張かぶせ～たる団扇哉,はりかぶせ はりかぶせたる うちわかな,団扇,喜び,風雅,淡白,0.75,夏,人事,文政句帖,文政9,TRUE
10920,待かねて寄つたぞ～留主の蚤,まちかねて よったぞよったぞ るすののみ,蚤,嫌悪,滑稽,素朴,0.75,夏,動物,文政九十句写,文政9,TRUE
16127,藪村や灯ろうの中にきり～”す,やぶむらや とうろうのなかに きりぎりす,きりぎりす,驚き,幽玄,静寂,0.75,秋,動物,書簡,文政9,TRUE
16734,八丈の大蕣よ～,はちじょうの おおあさがおよ あさがおよ,朝顔,喜び,風雅,淡白,0.75,秋,植物,文政九十句写,文政9,TRUE
18631,寝た下へ凩づうん～哉,ねたしたへ こがらしずうん ずうんかな,木がらし,悲しみ,無常,静寂,0.75,冬,天文,文政九・十年句帖写,文政９,TRUE
167,ちりの身のふはり～と花の春,ちりのみの ふわりふわりと はなのはる,花の春,喜び,風雅,幽玄,0.75,新年,時候,浅黄空他,-,TRUE
267,家内中てら～鍬の初日哉,かないじゅう てらてらくわの はつひかな,初日,喜び,風雅,淡白,0.75,新年,天文,浅黄空,-,TRUE
268,家内にてら～鍬の初日哉,いえうちに てらてらくわの はつひかな,初日,喜び,風雅,淡白,0.75,新年,天文,自筆本,-,TRUE
368,同じ世をへろ～百疋小ばん哉,おなじよを へろへろむかで こばんかな,百疋小判,驚き,滑稽,物の哀れ,0.72,新年,人事,株番,-,TRUE
434,蓬莱になんむ ～ といふ子哉,ほうらいに なんむなんむと いうこかな,蓬莱,喜び,風雅,幽玄,0.72,新年,人事,おらが春他,-,TRUE
471,ひよ(い)～と藪にかけるや余り注連,ひょいひょいと やぶにかけるや あまりじめ,飾,喜び,風雅,余情,0.75,新年,人事,希杖本,-,TRUE
485,ざぶ～と泥わらんじで御慶哉,ざぶざぶと どろわらんじで ぎょけいかな,年始,喜び,滑稽,素朴,0.72,新年,人事,浅黄空,-,TRUE
492,白髪天窓ふり立 ～御慶哉,しらがあたま ふりたてふりたて ぎょけいかな,年始,喜び,風雅,余情,0.75,新年,人事,希杖本,-,TRUE
549,廻り～てもどる年玉扇哉,まわりまわりて もどるとしだま おうぎかな,年玉,喜び,風雅,淡白,0.75,新年,人事,自筆本,-,TRUE
710,切凧のくる～舞やお茶の水,きれだこの くるくるまいや おちゃのみず,凧,喜び,風雅,淡白,0.75,新年,人事,浅黄空,-,TRUE
712,凧抱て直ぐにすや～寝る子哉,たこだいて すぐにすやすや ねるこかな,凧,喜び,愛らしさ,滑稽,0.75,新年,人事,浅黄空,-,TRUE
739,御座敷や菓子を見い～猿の舞,おざしきや かしをみいみい さるのまい,猿廻し,喜び,風雅,滑稽,0.75,新年,人事,梅塵八番,-,TRUE
912,けふもけふも霞はなしの榎かな,きょうもきょうも かすみはなしの えのきかな,霞,喜び,静寂,風雅,0.75,春,天文,探題句帳,-,TRUE
990,ひよろ～と痩菜花咲く日永哉,ひょろひょろと やせなはなさく ひながかな,日永,喜び,風雅,無常,0.72,春,時候,遺稿,-,TRUE
1046,待～し日永となれど田舎哉,まちまちし ひながとなれど いなかかな,日永,期待,無垢,物の哀れ,0.72,春,時候,句稿消息他,-,TRUE
1099,草麦のひょろ～のびる日ざし哉,くさむぎの ひょろひょろのびる ひざしかな,日永,喜び,風雅,淡白,0.75,春,時候,発句鈔追加,-,TRUE
1124,舞～や翌なき春を笑ひ顔,まいまいや あすなきはるを わらいがお,行く春,悲しみ,無常,余情,0.75,春,時候,版本題叢他,-,TRUE
1125,舞～や翌なき春をむり笑,まいまいや あすなきはるを むりわらい,行く春,悲しみ,無常,物の哀れ,0.75,春,時候,発句題叢,-,TRUE
1126,舞～や翌なき春をむら笑,まいまいや あすなきはるを むらわらい,行く春,悲しみ,無常,物の哀れ,0.75,春,時候,希杖本,-,TRUE
1159,木兎のつく～春をおしむやう,みみづくの つくづくはるを おしむよう,春惜む,悲しみ,無垢,物の哀れ,0.72,春,時候,希杖本,-,TRUE
1186,どぶ板や火かげちら～春の雪,どぶいたや ひかげちらちら はるのゆき,春の雪,驚き,幽玄,淡白,0.72,春,天文,梅塵八番,-,TRUE
1448,貝殻の不二がちよぼ～春の雨,かいがらの ふじがちょぼちょぼ はるのあめ,春雨,喜び,風雅,幽玄,0.75,春,天文,浅黄空,-,TRUE
1536,山 ～ やあたら春風夜さり吹,やまやまや あたらはるかぜ よさりふく,春風,喜び,風雅,幽玄,0.75,春,天文,浅黄空他,-,TRUE
1781,ほく～と霞んで来るはどなた哉,ほくほくと かすんでくるは どなたかな,霞,驚き,幽玄,風雅,0.75,春,天文,浅黄空他,-,TRUE
1837,家舟の音逆～も霞かな,えぶねのね さかささかさも かすみかな,霞,驚き,幽玄,静寂,0.72,春,天文,梅塵八番,-,TRUE
1901,さらば～の手にかゝる霞かな,さらばさらばの てにかかる かすみかな,霞,悲しみ,無常,物の哀れ,0.75,春,天文,希杖本,-,TRUE
1902,直道のひら～紙や春がすみ,すぐみちの ひらひらがみや はるがすみ,霞,喜び,風雅,幽玄,0.75,春,天文,浅黄空,-,TRUE
1904,杖先の一里～とかすみけり,つえさきの いちりいちりと かすみけり,霞,期待,幽玄,静寂,0.75,春,天文,発句鈔追加,-,TRUE
1954,陽炎にすい ～ 猫の鼾かな,かげろうに すいすいねこの いびきかな,陽炎,喜び,愛らしさ,風雅,0.75,春,天文,希杖本,-,TRUE
2049,長～の雪もとけけり大月夜,ながながの ゆきもとけけり おおづきよ,雪解,喜び,風雅,無常,0.75,春,地理,発句鈔追加,-,TRUE
2116,旅浴衣山はくり ～ 雪とける,たびゆかた やまはくりくり ゆきとける,雪解,喜び,風雅,無常,0.75,春,地理,浅黄空他,-,TRUE
2155,雪の道片～とけて置にけり,ゆきのみち かたかたとけて おきにけり,雪解,期待,無常,物の哀れ,0.72,春,地理,真蹟,-,TRUE
2181,門出吉山もくり～雪とける,かどでよし やまもくりくり ゆきとける,雪解,喜び,風雅,無常,0.75,春,地理,自筆本,-,TRUE
2204,振袖にすれ～山の青む也,ふりそでに すれすれやまの あおむなり,春の山,喜び,風雅,幽玄,0.75,春,地理,自筆本,-,TRUE
2474,へろ～の神や雛についとむく,へろへろの かみやひいなに ついとむく,雛,喜び,滑稽,愛らしさ,0.72,春,人事,浅黄空他,-,TRUE
2718,門の田もうつぞいざいざ雁遊べ,かどのたも うつぞいざいざ かりあそべ,田打,喜び,風雅,無常,0.75,春,人事,真蹟,-,TRUE
2760,草花や咲～畠に打れけり,くさばなや さきさきはたに うたれけり,畑打,喜び,風雅,物の哀れ,0.72,春,人事,発句鈔追加,-,TRUE
3141,雀子のしよぼ ～ ぬれて鳴にけり,すずめこの しょぼしょぼぬれて なきにけり,雀の子,悲しみ,無垢,物の哀れ,0.72,春,動物,梅塵八番,-,TRUE
3357,来るも～下手鶯よおれが垣,くるもくるも へたうぐいすよ おれがかき,鶯,悲しみ,無垢,物の哀れ,0.75,春,動物,真蹟,-,TRUE
3448,鶯よ廻り～て又のちに,うぐいすよ まわりまわりて またのちに,鶯,期待,幽玄,風雅,0.75,春,動物,浅黄空,-,TRUE
3449,鶯の廻り～て後に来よ,うぐいすの まわりまわりて あとにこよ,鶯,期待,風雅,幽玄,0.75,春,動物,自筆本,-,TRUE
3738,花がちる～とてきじの夜鳴哉,はながちる ちるとてきじの よなきかな,雉,悲しみ,無垢,物の哀れ,0.75,春,動物,発句鈔追加,-,TRUE
3756,黒門や下(に)～と雉の声,くろもんや したにしたにと きじのこえ,雉,喜び,風雅,静寂,0.75,春,動物,文政版,-,TRUE
3757,黒門の下(に)～と雉の声,くろもんの したにしたにと きじのこえ,雉,驚き,幽玄,静寂,0.75,春,動物,文政版,-,TRUE
3776,駕先や下に～と雉の声,かごさきや したにしたにと きじのこえ,雉,喜び,風雅,幽玄,0.72,春,動物,だん袋他,-,TRUE
3778,下に～ととぎれより雉子の声,したにしたに ととぎれより きじのこえ,雉,驚き,幽玄,静寂,0.75,春,動物,梅塵八番,-,TRUE
3790,をれ(を)見るや雉伸上り～,おれをみるや きじのびあがり のびあがり,雉,驚き,風雅,幽玄,0.72,春,動物,浅黄空,-,TRUE
3904,泣な～なそれほど無事で帰る雁,なくななくな それほどまめで かえるかり,帰る雁,悲しみ,無垢,物の哀れ,0.75,春,動物,詩宇耳隣通,-,TRUE
3915,連のない雁もとぼ～帰りけり,つれのない かりもとぼとぼ かえりけり,帰る雁,悲しみ,無垢,物の哀れ,0.75,春,動物,句稿消息,-,TRUE
3920,連のない雁もとぼ～帰りけり,つれのない かりもとぼとぼ かえりけり,帰る雁,悲しみ,無垢,物の哀れ,0.75,春,動物,句稿消息,-,TRUE
3938,わや ～ と若い同士の帰雁,わやわやと わかいどうしの かえるかり,帰る雁,喜び,風雅,無常,0.72,春,動物,あつくさ,-,TRUE
3997,行たいか雁伸上り～,ゆきたいか かりのびあがり のびあがり,帰る雁,期待,無常,物の哀れ,0.75,春,動物,浅黄空,-,TRUE
4038,古草のはら ～ 雨やなく蛙,ふるくさの はらはらあめや なくかえる,蛙,悲しみ,無垢,物の哀れ,0.75,春,動物,遺稿,-,TRUE
4135,叱てもしやあ～として居蛙,しかっても しゃあしゃあとして いるかえる,蛙,喜び,滑稽,愛らしさ,0.72,春,動物,浅黄空,-,TRUE
4138,小便をしながらもなくなく蛙,しょうべんを しながらもなく なくかえる,蛙,嫌悪,滑稽,素朴,0.75,春,動物,希杖本,-,TRUE
4374,蝶どももうろ～欲のうき世哉,ちょうどもも うろうろよくの うきよかな,蝶,期待,無垢,物の哀れ,0.65,春,動物,株番,-,TRUE
4387,蝶来るや何のしや ～ りもない庵へ,ちょうくるや なんのしゃしゃりも ないいおへ,蝶,喜び,風雅,静寂,0.72,春,動物,志多良他,-,TRUE
4422,田に畑にてん～舞の小てふ哉,たにはたに てんてんまいの こちょうかな,蝶,喜び,風雅,可憐さ,0.75,春,動物,句稿消息他,-,TRUE
4454,蝶小てふそこのけ～湯がはねる,ちょうこちょう そこのけそこのけ ゆがはねる,蝶,喜び,風雅,愛らしさ,0.75,春,動物,浅黄空他,-,TRUE
4507,菅莚それ～蝶が汚るゝな,すがむしろ それそれちょうが けがるるな,蝶,嫌悪,風雅,幽玄,0.75,春,動物,だん袋,-,TRUE
4616,世の中は蝶も朝からがつ ～ と,よのなかは ちょうもあさから がつがつと,蝶,期待,滑稽,物の哀れ,0.65,春,動物,自筆本,-,TRUE
4656,山蜂や鳴 ～ 通る大座敷,やまばちや なきなきとおる おおざしき,蜂,驚き,風雅,幽玄,0.75,春,動物,志多良,-,TRUE
4777,かくれ家や草は日に ～若くなる,かくれがや くさはひにひに わかくなる,若草,喜び,風雅,無常,0.75,春,植物,句稿消息,-,TRUE
4977,てう～と大材木の下わらび,てうてうと おおざいもくの したわらび,蕨,喜び,風雅,淡白,0.72,春,植物,志多良,-,TRUE
5002,木～”もめを開らくやみだの本願寺,きぎもめを ひらくやみだの ほんがんじ,木の芽,喜び,風雅,幽玄,0.72,春,植物,書簡,-,TRUE
5025,春ぞとてしぶ ～ 咲の椿哉,はるぞとて しぶしぶさきの つばきかな,椿,悲しみ,無垢,物の哀れ,0.75,春,植物,七番日記,-,TRUE
5026,春ぞとてしぶ ～ に咲く椿哉,はるぞとて しぶしぶにさく つばきかな,椿,悲しみ,無垢,物の哀れ,0.72,春,植物,自筆本,-,TRUE
5065,藤の花なむあら ～ とそよぎけり,ふじのはな なむあらあらと そよぎけり,藤,喜び,風雅,幽玄,0.75,春,植物,希杖本,-,TRUE
5306,楽～と梅も伸たる田舎哉,らくらくと うめものびたる いなかかな,梅,喜び,風雅,淡白,0.75,春,植物,句稿消息,-,TRUE
5433,ひら～とつぶりにしみるる梅の花,ひらひらと つぶりにしみるる うめのはな,梅,喜び,風雅,幽玄,0.75,春,植物,梅塵八番,-,TRUE
5449,黒塗の馬もぴか ～梅の花,くろぬりの うまもぴかぴか うめのはな,梅,喜び,風雅,艶,0.75,春,植物,希杖本,-,TRUE
5514,藪垣にやり梅つうい～哉,やぶがきに やりうめつうい つういかな,梅,喜び,風雅,淡白,0.75,春,植物,発句鈔追加,-,TRUE
5529,藪梅の散もべん～だらり哉,やぶうめの ちるもべんべん だらりかな,梅,喜び,風雅,余情,0.75,春,植物,浅黄空,-,TRUE
5530,藪の梅散るもべん～だらりなり,やぶのうめ ちるもべんべん だらりなり,梅,悲しみ,無垢,物の哀れ,0.72,春,植物,発句集続篇,-,TRUE
5643,たゞ頼め花もはら ～あの通,ただたのめ はなもはらはら あのとおり,花,期待,風雅,幽玄,0.65,春,植物,文政版,-,TRUE
5644,たゞ頼め桜ぼた ～あの通,ただたのめ さくらぼたぼた あのとおり,花,期待,風雅,淡白,0.65,春,植物,文化三―八年句日記写,-,TRUE
5825,花があれあれとて笑ひ仏哉,はながあれ あれとてわらい ほとけかな,花,喜び,風雅,幽玄,0.75,春,植物,浅黄空,-,TRUE
5832,小むしろや花草臥のどさ ～ と,こむしろや はなくたびれの どさどさと,花,悲しみ,無垢,物の哀れ,0.75,春,植物,梅塵八番,-,TRUE
5927,花をみたわらぢながらやどた～寝,はなをみた わらじながらや どたどたね,花,喜び,愛らしさ,風雅,0.65,春,植物,浅黄空,-,TRUE
5980,声～゛に花の木陰のばくち哉,こえごえに はなのこかげの ばくちかな,花,驚き,風雅,幽玄,0.72,春,植物,文政版,-,TRUE
5996,ほく～と花見に来るはどなた哉,ほくほくと はなみにくるは どなたかな,花,驚き,風雅,幽玄,0.72,春,植物,真蹟,-,TRUE
6193,待～し桜と成れど田舎哉,まちまちし さくらとなれど いなかかな,桜,期待,無垢,物の哀れ,0.72,春,植物,志多良,-,TRUE
6225,桜花ちれ～腹にたまる程,さくらばな ちれちれはらに たまるほど,桜,喜び,風雅,物の哀れ,0.75,春,植物,浅黄空他,-,TRUE
6387,門桜ちら～散るが仕事哉,かどざくら ちらちらちるが しごとかな,桜,喜び,風雅,無常,0.75,春,植物,浅黄空,-,TRUE
6388,門桜はら ～ 散るが仕事哉,かどざくら はらはらちるが しごとかな,桜,悲しみ,無常,物の哀れ,0.75,春,植物,自筆本,-,TRUE
6400,どれ～が御目にとまりし桜かよ,どれどれが おめにとまりし さくらかよ,桜,驚き,風雅,幽玄,0.72,春,植物,浅黄空,-,TRUE
6401,どれ～が御目にとまりし桜哉,どれどれが おめにとまりし さくらかな,桜,喜び,風雅,淡白,0.75,春,植物,自筆本,-,TRUE
6402,南むだいひ大悲～の桜哉,なむだいひ だいひだいひの さくらかな,桜,驚き,幽玄,風雅,0.75,春,植物,遺稿,-,TRUE
6407,末世末代でもさくら～哉,まつよまつ だいでもさくら さくらかな,桜,期待,無常,風雅,0.75,春,植物,浅黄空,-,TRUE
6423,苦桃の花のごて ～咲にけり,にがももの はなのごてごて さきにけり,桃の花,喜び,風雅,淡白,0.72,春,植物,発句集続篇,-,TRUE
6622,柳からまね～出たり狐面,やなぎから まねまねでたり きつねづら,柳,驚き,滑稽,風雅,0.65,春,植物,希杖本,-,TRUE
6638,ごちや ～ と鹿の親子が寝顔哉,ごちゃごちゃと しかのおやこが ねがおかな,鹿の子,喜び,愛らしさ,風雅,0.75,夏,人事,句稿消息,-,TRUE
6639,くしや ～ と鹿の親子の寝面哉,くしゃくしゃと しかのおやこの ねつらかな,鹿の子,喜び,愛らしさ,風雅,0.75,夏,人事,希杖本,-,TRUE
6646,椽なりに寝て夕立よ～よ,たるなりに ねてゆうだちよ ゆうだちよ,夕立,喜び,静寂,風雅,0.75,夏,天文,あつくさ,-,TRUE
6797,暑き日や爰にもごろりごろり哉,あつきひや ここにもごろり ごろごりかな,暑し,喜び,素朴,滑稽,0.75,夏,時候,発句鈔追加,-,TRUE
6819,暑き夜をどろ ～ 善光寺詣り哉,あつきよを どろどろぜんこうじ まいりかな,暑し,喜び,風雅,余情,0.75,夏,時候,梅塵八番,-,TRUE
6868,けふも～翌(も)あついか藪の家,きょうもきょうも あすもあついか やぶのいえ,暑し,期待,素朴,無常,0.65,夏,時候,真蹟,-,TRUE
7460,雨雲やまん ～ しては峰と成,あまぐもや まんまんしては みねとなる,雲の峰,驚き,幽玄,風雅,0.75,夏,時候,梅塵八番,-,TRUE
7616,わる赤い花のごて～苔清水,わるあかい はなのごてごて こけしみず,清水,嫌悪,無垢,物の哀れ,0.75,夏,地理,志多良他,-,TRUE
7646,山番の爺<～>が祈りし清水哉,やまばんの じじがいのりし しみずかな,清水,信頼,静寂,風雅,0.75,夏,地理,おらが春,-,TRUE
7674,けいこ笛田がこと～゛く青みけり,けいこぶえ たがことごとく あおみかな,青田,喜び,風雅,幽玄,0.75,夏,地理,希杖本,-,TRUE
7707,起～に慾目引ぱる青田哉,おきおきに よくめひっぱる あおたかな,青田,喜び,風雅,淡白,0.75,夏,地理,嘉永版,-,TRUE
7725,下手植の稲もそろ～青みけり,へたうえの いねもそろそろ あおみけり,青田,喜び,風雅,素朴,0.75,夏,地理,希杖本,-,TRUE
7726,下手植の稲もそよ ～青みけり,へたうえの いねもそよそよ あおみけり,青田,喜び,風雅,素朴,0.75,夏,地理,希杖本別本,-,TRUE
7873,蝸牛そろ ～ 登れ富士の山,かたつむり そろそろのぼれ ふじのやま,浅草富士詣,期待,風雅,淡白,0.75,夏,人事,文政版,-,TRUE
7918,大川へはら～蚤を御祓哉,おおかわへ はらはらのみを みそぎかな,御祓,嫌悪,無常,素朴,0.75,夏,人事,希杖本,-,TRUE
7919,玉川の萩もちら～夕祓,たまがわの はぎもちらちら ゆうはらい,御祓,喜び,風雅,幽玄,0.75,夏,人事,発句鈔追加,-,TRUE
7984,鳴さうな虫のあれ～葺あやめ,なきさうな むしのあれあれ ふきあやめ,端午,悲しみ,無垢,物の哀れ,0.72,夏,人事,希杖本,-,TRUE
7985,鳴さうな虫があれ ～葺あやめ,なきさうな むしがあれあれ ふきあやめ,端午,驚き,幽玄,静寂,0.72,夏,人事,希杖本,-,TRUE
8112,夢の世を中をうとかたりつゝ～,ゆめのよを なかをうとかたりつつ かたりつつ,鵜飼,喜び,幽玄,風雅,0.75,夏,人事,句稿消息,-,TRUE
8169,御用鵜が下手ぞよ～又も又,ごよううが へたぞよへたぞよ またもまた,鵜飼,怒り,滑稽,素朴,0.72,夏,人事,発句鈔追加,-,TRUE
8180,今日もけふもけふとやだまし雨,きょうも きょうもきょうとや だましあめ,雨乞ひ,驚き,無常,淡白,0.72,夏,人事,梅塵八番,-,TRUE
8417,きるやいな皺かたびらぞかたびらぞ,きるやいな しわかたびらぞ かたびらぞ,帷子,驚き,滑稽,素朴,0.72,夏,人事,希杖本,-,TRUE
8504,さら ～ ときのふは青き簾哉,さらさらと きのうはあおき すだれかな,青簾,喜び,風雅,淡白,0.75,夏,人事,文化三―八年句日記写,-,TRUE
8549,ちりの身とともにふは～紙帳哉,ちりのみと ともにふわふわ しちょうかな,蚊屋,悲しみ,無常,物の哀れ,0.72,夏,人事,おらが春,-,TRUE
8579,翌日も～同じ夕べや独り?,あすもあすも おなじゆうべや ひとりかや,蚊屋,悲しみ,無常,寂び,0.75,夏,人事,発句鈔追加,-,TRUE
8628,鹿の背にくす～鳥の昼寝哉,しかのせに くすくすとりの ひるねかな,昼寝,喜び,愛らしさ,風雅,0.75,夏,人事,希杖本,-,TRUE
9026,夜～は貧乏かつらも涼哉,よるよるは びんぼうかつらも すずみかな,涼み,喜び,素朴,滑稽,0.75,夏,人事,句稿消息,-,TRUE
9132,爰～と妻ん鶏よぶや門涼み,ここここと めんどりよぶや かどすずみ,涼み,喜び,風雅,素朴,0.72,夏,人事,だん袋,-,TRUE
9137,夜 ～ は我身となりて門涼み,よるよるは わがみとなりて かどすずみ,涼み,信頼,静寂,幽玄,0.75,夏,人事,梅塵八番,-,TRUE
9143,尻まくらはやるぞ～門涼み,しりまくら はやるぞはやる かどすずみ,涼み,喜び,滑稽,素朴,0.75,夏,人事,梅塵八番,-,TRUE
9775,初声は江戸へ～と時烏,はつごえは えどへえどへと ほととぎす,時鳥,期待,風雅,淡白,0.75,夏,人事,梅塵八番,-,TRUE
9985,今の間や一行～すぎて又,いまのまや いちぎょうぎょう すぎてまた,行々子,驚き,幽玄,余情,0.75,夏,人事,発句鈔追加,-,TRUE
9988,よい風を鼻にかけてや行～子,よいかぜを はなにかけてや ぎょうぎょうし,行々子,喜び,風雅,静寂,0.72,夏,人事,句稿消息他,-,TRUE
9996,十日程雨請合ふて行～し,とうかほど あめうけおうて ぎょうぎょうし,行々子,期待,無常,幽玄,0.65,夏,人事,発句集続篇,-,TRUE
9998,兀天窓??かけろと行～し,はげあたま たがかけろと ぎょうぎょうし,行々子,驚き,滑稽,素朴,0.72,夏,人事,嘉永版,-,TRUE
10003,たしなめよ口がすぎるぞ行～し,たすなめよ くちがすぎるぞ ぎょうぎょうし,行々子,怒り,滑稽,素朴,0.75,夏,人事,発句鈔追加,-,TRUE
10026,子烏のきよろ ～ とゝをかゝあ哉,こがらすの きょろきょろととを かかあかな,烏の子,喜び,愛らしさ,滑稽,0.75,夏,人事,浅黄空,-,TRUE
10060,古猫の蛇すら不承～゛哉,ふるねこの へびすらふしょう ぶしょうかな,蛇,嫌悪,滑稽,素朴,0.75,夏,人事,株番,-,TRUE
10228,初蛍行け ～ 人のよぶうちに,はつぼたる ゆけゆけひとの よぶうちに,蛍,期待,風雅,幽玄,0.75,夏,人事,希杖本,-,TRUE
10306,飛蛍其手はくはぬ～とや,とぶほたる そのてはくわぬ くわぬとや,蛍,驚き,幽玄,静寂,0.75,夏,人事,おらが春,-,TRUE
10312,へろ～の神むく方へ来よ蛍,へろへろの かみむくほうへ こよほたる,蛍,喜び,風雅,幽玄,0.75,夏,人事,梅塵八番,-,TRUE
10328,今売た草にあれ～はつ蛍<哉>,いまうった くさにあれあれ はつほたる,蛍,喜び,風雅,淡白,0.75,夏,人事,梅塵八番,-,TRUE
10331,初蛍行け～人のよぶうちに,はつほたる ゆけゆけひとの よぶうちに,蛍,期待,風雅,幽玄,0.75,夏,人事,希杖本,-,TRUE
10407,蛍こよ～とよひとり酒,ほたるこよ ほたるこよとよ ひとりざけ,蛍,悲しみ,無垢,物の哀れ,0.75,夏,動物,発句鈔追加,-,TRUE
10429,両三度ころ ～ 下手な火とり虫,りょうさんど ころころへたな ひとりむし,火取り虫,嫌悪,滑稽,素朴,0.75,夏,動物,梅塵八番,-,TRUE
10442,涼んとぶら～下る毛虫哉,すずまんと ぶらぶらさがる けむしかな,毛虫,喜び,愛らしさ,滑稽,0.75,夏,動物,だん袋,-,TRUE
10614,一つ蚊のだまりてしくり～哉,ひとつかの だまりてしくり しくりかな,蚊,嫌悪,滑稽,素朴,0.75,夏,動物,希杖本,-,TRUE
10656,ふは～と出たは御堂の藪蚊哉,ふわふわと でたはみどうの やぶかかな,蚊,嫌悪,滑稽,素朴,0.75,夏,動物,真蹟,-,TRUE
10720,蠅打ば蝶もそこ ～去にけり,はえうてば ちょうもそこそこ さりにけり,蠅,嫌悪,無常,物の哀れ,0.75,夏,動物,梅塵八番,-,TRUE
10786,田がよいぞ～とや蠅さはぐ,たがよいぞ たがよいぞとや はえさわぐ,蠅,嫌悪,滑稽,素朴,0.75,夏,動物,希杖本,-,TRUE
10929,焼迹やほかり ～ と蚤さはぐ,やけあとや ほかりほかりと のみさわぐ,蚤,嫌悪,無垢,物の哀れ,0.75,夏,動物,希杖本,-,TRUE
12061,中 ～ に赤いわか葉の淋しさよ,なかなかに あかいわかばの さびしさよ,若葉,悲しみ,無垢,物の哀れ,0.75,夏,植物,発句集続篇,-,TRUE
12131,家 ～ やちさいがおれが夏木立,いえいえや ちさいがおれが なつこだち,夏木立,喜び,素朴,風雅,0.75,夏,植物,希杖本,-,TRUE
12209,渋柿の花のしぶ～咲にけり,しぶがきの はなのしぶしぶ さきにけり,柿の花,喜び,風雅,淡白,0.72,夏,植物,希杖本他,-,TRUE
12210,渋柿のしぶ～花と成にけり,しぶがきの しぶしぶはなと なりにけり,柿の花,喜び,風雅,淡白,0.75,夏,植物,発句鈔追加,-,TRUE
12211,渋柿のしぶ～花になりにけり,しぶがきの しぶしぶはなに なりにけり,柿の花,喜び,風雅,幽玄,0.75,夏,植物,嘉永版,-,TRUE
12258,卯の花もほろり ～ と蟇の塚,うのはなも ほろりほろりと ひきのつか,卯の花,悲しみ,無垢,物の哀れ,0.75,夏,植物,発句鈔追加,-,TRUE
12452,御鳥もうそ～寒き芽さしかな,おんとりも うそうそさむき めさしかな,やや寒,悲しみ,無常,物の哀れ,0.75,秋,時候,発句鈔追加,-,TRUE
12652,ずんずんとぼんの凹から夜寒哉,ずんずんと ぼんのおうから よさむかな,夜寒,驚き,幽玄,静寂,0.75,秋,時候,あつくさ,-,TRUE
12727,うか ～ と人に生れて秋の暮,うかうかと ひとにうまれて あきのくれ,秋の暮,悲しみ,無常,物の哀れ,0.75,秋,時候,名なし草紙,-,TRUE
12730,島 ～ や一こぶしづつ秋の暮,しまじまや ひとこぶしづつ あきのくれ,秋の暮,悲しみ,無常,物の哀れ,0.75,秋,時候,我春集,-,TRUE
12746,柴ちよぼ ～遠山作る秋の暮,しばちよぼちよぼ とおやまつくる あきのくれ,秋の暮,喜び,風雅,幽玄,0.75,秋,時候,句稿消息他,-,TRUE
12749,活て又見るぞよ～秋の暮,いきてまた みるぞよみるぞ あきのくれ,秋の暮,期待,無常,淡白,0.75,秋,時候,句稿消息,-,TRUE
12918,行秋を尾花がさらば～哉,ゆくあきを おばながさらば さらばかな,暮の秋,悲しみ,無常,物の哀れ,0.75,秋,時候,句稿消息他,-,TRUE
13178,名月をにぎ～したるわらは哉,めいげつを にぎにぎしたる わらわかな,名月,喜び,風雅,淡白,0.75,秋,天文,発句鈔追加,-,TRUE
13337,一夜さは我さらしなよ～,ひとよさは われさらしなよ さらしなよ,名月,期待,風雅,幽玄,0.75,秋,天文,発句鈔追加,-,TRUE
13419,秋日和糊つけほゝん～哉,あきびより のりつけほほん ほほんかな,秋日和,喜び,風雅,静寂,0.75,秋,天文,あつくさ,-,TRUE
13420,梟がのりつけおほん ～ 哉,ふくろうが のりつけおほん おほんかな,秋日和,驚き,幽玄,静寂,0.75,秋,天文,真蹟,-,TRUE
13446,どさ ～ と木曽茶煎けり秋(の)雨,どさどさと きそちゃいりけり あきのあめ,秋の雨,喜び,風雅,淡白,0.72,秋,天文,発句鈔追加,-,TRUE
13522,秋風の吹夜～やあばら骨,あきかぜの ふくよふくよや あばらぼね,秋風,悲しみ,無常,物の哀れ,0.75,秋,天文,句稿消息,-,TRUE
